text,classification,tweet_proc
"evne til å lese jus, forarbeid, forskrifter og rundskriv. Enhver inngripen som begrenser borgernes frihet, må ha et lovlig grunnlag. det er ingen hjemmel i politiloven p7 for å utvise tilfeldige tilskuere.",1,evne lese jus forarbeid forskrifter rundskriv enhver inngripen begrenser borgernes frihet må lovlig grunnlag hjemmel politiloven p utvise tilfeldige tilskuere
"ikke fortell meg at jeg ikke kan si pakkis, ola og kari starte det da jeg var yngre. har rett til å si det. abu, du pakker er faen deg.",1,ikke fortell ikke pakkis ola kari starte yngre rett abu pakker faen
"god muslim gjør sterkt argument for at vi må brenne flere koraner. Når vil politiet erkjenne at de de anser for å være gjerninger rett og slett er veldig gode muslimer, ifølge islamske definisjoner? deporter det uintegrerbare.",1,god muslim gjør sterkt argument må brenne flere koraner politiet erkjenne anser gjerninger rett slett veldig gode muslimer ifølge islamske definisjoner deporter uintegrerbare
"hvis døvhet også ønsket å ta fakta på alvor, kunne vi ha en fruktbar debatt. fornektelsen av den dokumenterbare virkeligheten er formidabel i hennes ekkokammer.",1,døvhet ønsket ta fakta alvor fruktbar debatt fornektelsen dokumenterbare virkeligheten formidabel ekkokammer
prest og sokneråd går fri der andre bare må respektere lovens krav:,1,prest sokneråd går fri andre må respektere lovens krav
å være 15 år på en festival i utkanten av Trøndelag og bli oppfordret av gutter like unge: jævla pakkis. ta den med hjem!,1,år festival utkanten trøndelag oppfordret gutter like unge jævla pakkis ta hjem
hva er likheten mellom en pakkis og et eple? de ser begge forlokkende ut når de henger på et tre.,0,likheten pakkis eple ser forlokkende henger tre
faktum 1: venstreorienterte ekstremister er 31 ganger så utsatt for terrorisme som høyreekstreme ifølge europol. faktum 2: muslimsk terror har krevd 14 000 ofre i Europa siden 2001. det er betydelig mer enn høyreekstremisme. hva med å reflektere over hvorfor ytterste høyre øker?,1,faktum venstreorienterte ekstremister ganger utsatt terrorisme høyreekstreme ifølge europol faktum muslimsk terror krevd ofre europa betydelig mer høyreekstremisme reflektere ytterste høyre øker
"unnskyld meg for å ha brutt inn, men koranen sier at allah tilgir deg hvis du tvinger din slave til prostitusjon. så hvorfor så intolerant?",0,unnskyld brutt koranen sier allah tilgir tvinger slave prostitusjon intolerant
"Hver gang vi diskuterer snikislamisering, er det utallige uttalelser vi har glemt. rune berglund steen går gjennom frps retorikk de siste årene.",1,gang diskuterer snikislamisering utallige uttalelser glemt rune berglund steen går gjennom frps retorikk siste årene
google search snikislamisering + frp 9220 treff.,1,google search snikislamisering frp treff
så strakte den ut skjult islamisering og ønsket om å begrense den utenlandske kulturelle rett etter rykte pressekonferansen.,1,strakte skjult islamisering ønsket begrense utenlandske kulturelle rett rykte pressekonferansen
"du er velkommen til å diskutere innvandring. prosjektet vårt er å stoppe og reversere islamisering. at det er f-skap i kristne land er irrelevant. fordi det er i strid med Kristi liv og lære. lære om livet i Muh og lære, og du vil forstå vårt engasjement.",0,velkommen diskutere innvandring prosjektet vårt stoppe reversere islamisering f skap kristne land irrelevant strid kristi liv lære lære livet muh lære forstå vårt engasjement
"- Jeg skulle ønske det ikke var så store følelser rundt dette. men samtidig forstår jeg at det vil være slik. tro at det kommer fra partiet som ga oss snikislamisering, morna jens og imamsleiking ...",1,ønske ikke store følelser rundt samtidig forstår tro kommer partiet ga snikislamisering morna jens imamsleiking
"ja, da må det anses å være bevist at han er rasist ... når vil stemmepakken heve seg over ånds-samlivsstadiet, og tilby fakta og argumenter til støtte for hans opprørende påstander?",1,må anses bevist rasist stemmepakken heve ånds samlivsstadiet tilby fakta argumenter støtte opprørende påstander
". og hvem bryr seg egentlig? Nazister kan også ha forandret seg til det bedre ,,, ikke sant kjære pakkis?",0,bryr egentlig nazister forandret bedre ikke sant kjære pakkis
endelig noen som skriver snikislamisering i stedet for den litt kjedeligere luskede islamiseringen.,1,endelig skriver snikislamisering stedet litt kjedeligere luskede islamiseringen
vi ser frem til å ha en norsk politiker i en maktposisjon som setter Norge først. enda hyggeligere å se at kulturell marxistisk hjernevask av unge mennesker kan reverseres.,0,ser frem norsk politiker maktposisjon setter norge først enda hyggeligere se kulturell marxistisk hjernevask unge mennesker reverseres
og dette er den personen statsministeren mener er best kvalifisert til å være vår justisminister. godt valg.,1,personen statsministeren mener best kvalifisert justisminister godt valg
leirvik: høyrepopulisme i norge manifesteres i debatter som f.eks,1,leirvik høyrepopulisme norge manifesteres debatter f eks
"i går nektet siv jensen å beklage at hun brukte ordet snikislamisering, ordet nestleder for pressekonferansen sa at han angret",1,går nektet siv jensen beklage brukte ordet snikislamisering ordet nestleder pressekonferansen sa angret
kaos og motsetninger vi har hatt siden folk som deg begynte å importere uintegrerbare ting for over 40 år siden.,1,kaos motsetninger hatt folk begynte importere uintegrerbare ting år
"å ønske å ta ut det berusede partiet fra folkefesten er også en snikislamisering av holmenkollen, og dette er derfor ikke noe en norsk statsminister bør gå inn for. bare spør hennes partner i kriminalitet, siv jensen, om den saken. men hun husker sannsynligvis ingenting",1,ønske ta berusede partiet folkefesten snikislamisering holmenkollen derfor ikke norsk statsminister bør gå spør partner kriminalitet siv jensen saken husker sannsynligvis ingenting
"politisk prioritering i stoffvalget som er diskutert er ganske vanlig. du ser det i hele MSM også. de tre har bedre track record når det gjelder falske nyheter enn f.eks vg, nrk og tv2.",1,politisk prioritering stoffvalget diskutert ganske vanlig ser hele msm tre bedre track record gjelder falske nyheter f eks vg nrk tv
"kjære twitter, i dag har jeg skjenket øl, rød og hvit vin. blitt stemplet som en pappajente med et snev av hu derre pakis-girl .k",1,kjære twitter dag skjenket øl rød hvit vin stemplet pappajente snev hu derre pakis girl k
har kanestrøm og jørgensen fått dette? tydelig skjult islamisering i stedsnavn på kvaløya,0,kanestrøm jørgensen fått tydelig skjult islamisering stedsnavn kvaløya
det er noe galt med hodet ditt hvis du har unngått å observere islamisering de siste 40 årene.,0,galt hodet unngått observere islamisering siste årene
for noen mennesker er det mer naturlig å tro på snikislamisering enn menneskeskapte klimaendringer. forstå det den som kan.,1,mennesker mer naturlig tro snikislamisering menneskeskapte klimaendringer forstå
du bekrefter poenget min skala. de uintegrerbare vet at du jobber til fordel for kolonisering. derfor er du ikke plaget. ennå. vi som ønsker å redde norge har kjent på islamsk oppførsel på kroppen allerede i noen år.,0,bekrefter poenget skala uintegrerbare vet jobber fordel kolonisering derfor ikke plaget ennå ønsker redde norge kjent islamsk oppførsel kroppen allerede år
dette er falskt - korrupt politi og korrupte dommere som har sneket seg inn som det var i avisene når andre skrev om snikislamisering - rapporterte til politiet med innlevelse politiet med innlevelse,0,falskt korrupt politi korrupte dommere sneket avisene andre skrev snikislamisering rapporterte politiet innlevelse politiet innlevelse
"Med tanke på at Koranen gir muslimer retten til å bryte avtaler med oss skitne vantro, og at Sunnah forbyder varige fredsavtaler (bare maksimalt ti år), har du sannsynligvis rett. men er det Trumps eller Islams feil?",0,tanke koranen gir muslimer retten bryte avtaler skitne vantro sunnah forbyder varige fredsavtaler maksimalt ti år sannsynligvis rett trumps islams feil
altså: å advare om ikke snikislamisering eller kalle stoltenberg kulturquisling er vel ikke et forsøk på nøktern analyse.,1,altså advare ikke snikislamisering kalle stoltenberg kulturquisling vel ikke forsøk nøktern analyse
sian ber publikum om hjelp til å identifisere gjerningsmannen,0,sian ber publikum hjelp identifisere gjerningsmannen
pølsesnakk. Jeg beskriver påviselige fakta du ikke liker å forholde deg til. offermentalitet og offer er ikke synonymer.,1,pølsesnakk beskriver påviselige fakta ikke liker forholde offermentalitet offer ikke synonymer
er imponert over at ytterste høyre bruker Hitlers bursdag for å demonstrere mot snikislamisering. da vet vi hva de mener og kommer fra.,1,imponert ytterste høyre bruker hitlers bursdag demonstrere snikislamisering vet mener kommer
maktkampen i venstresiden startet. abid raja kommer med en plan om å bli leder i venstresiden. ikke lett å lede regjeringen da. en minister bruker i ordet. raja gjentok at Frps bruk av begrepene båtvandrere og skjult islamisering er brun propaganda fra Frp,1,maktkampen venstresiden startet abid raja kommer plan leder venstresiden ikke lett lede regjeringen minister bruker ordet raja gjentok frps bruk begrepene båtvandrere skjult islamisering brun propaganda frp
"BLM er et nyttig verktøy for å rive den vestlige sivilisasjonen i stykker. blm har myrdet flere kvinner og barn, hvite og svarte, uten at du fordømmer dem. det er uærlig å fremstille drapet i dk som rasistisk.",0,blm nyttig verktøy rive vestlige sivilisasjonen stykker blm myrdet flere kvinner barn hvite svarte fordømmer uærlig fremstille drapet dk rasistisk
hvordan unngå? nesten alle terrorister er muslimske mennesker fra et sløvt land,0,unngå nesten terrorister muslimske mennesker sløvt land
kanskje vi burde invitere denne fyren til hamar? paludan er opptatt med å brenne koranen i sverige på lørdag.,1,kanskje burde invitere fyren hamar paludan opptatt brenne koranen sverige lørdag
kronikk: er pakkisen død?: er tiden moden for pakkisen å ryddes fra fornærmelsesordboken eller ikke? ...,1,kronikk pakkisen død tiden moden pakkisen ryddes fornærmelsesordboken ikke
91 prosent av terrorisme i Europa er islamsk. de har 14 000 europeiske ofre de siste 18 årene. Muslimer er 600 ganger mer utsatt for terrorisme enn høyreorienterte.,1,prosent terrorisme europa islamsk europeiske ofre siste årene muslimer ganger mer utsatt terrorisme høyreorienterte
"Jeg tror vi kan være tydelige på at snikislamisering er et rasistisk begrep, og det er ikke polarisering å si at det ikke er greit å bruke.",1,tror tydelige snikislamisering rasistisk begrep ikke polarisering ikke greit bruke
det ser ut til å være en større fare for snik-konspirasjon enn snik-islamisering.,1,ser større fare snik konspirasjon snik islamisering
"det er feil å bruke snikislamisering, det har vært helt åpenbart i flere år nå. i tillegg er de ikke flyktninger i båten ifølge asylkonvensjonen, i beste fall velferdsflyktninger godt ispedd analfabeter og inkompetente kriminelle individer. men for all del ...",0,feil bruke snikislamisering helt åpenbart flere år tillegg ikke flyktninger båten ifølge asylkonvensjonen beste fall velferdsflyktninger godt ispedd analfabeter inkompetente kriminelle individer all del
"ja, wow. bare se opp for folket. tips: bestikkelser fungerer.",1,wow se folket tips bestikkelser fungerer
Påstander om snikislamisering bør møtes med fakta og ikke sarkasme. dette skaper bare sterkere fronter.,1,påstander snikislamisering bør møtes fakta ikke sarkasme skaper sterkere fronter
"enig, men jeg tror vi må være enda tydeligere. bruken av begrepet snikislamisering er noe vi bør referere til som den er, nemlig luskende rasisme. her forklarer jeg hvorfor",0,enig tror må enda tydeligere bruken begrepet snikislamisering bør referere nemlig luskende rasisme forklarer
"dessverre villig så det er noen som ikke tviler, men som tror det frp sier om snikislamisering. det er skremmende å både se og høre kort tid etter en så tragisk hendelse som vi har opplevd",1,dessverre villig ikke tviler tror frp sier snikislamisering skremmende se høre kort tid tragisk hendelse opplevd
"akkurat som siv jensen på har jeg også vært en bråkmaker, husk snikislamisering, jeg mener det om snikislamisering ennå, altså - og ingen løftet et øyenbryn til og med. det var nesten litt søtt.",1,akkurat siv jensen bråkmaker husk snikislamisering mener snikislamisering ennå altså løftet øyenbryn nesten litt søtt
"hva det er og ikke er grunnlag for å anta, må vi selvfølgelig holde åpent. spørsmålet er om det er andre troverdige motiver. Gitt at politisk motiv synes mest sannsynlig, bør det være akseptabelt for folk å nevne det.",1,ikke grunnlag anta må selvfølgelig holde åpent spørsmålet andre troverdige motiver gitt politisk motiv synes mest sannsynlig bør akseptabelt folk nevne
millioner av muslimer stormer inn i Europa - de roper allahu akbar! -,0,millioner muslimer stormer europa roper allahu akbar
"vært i debatt med siv jensen på søndagsavisen. Hvis Frp er seriøs med å ikke stigmatisere muslimer, må lusket islamisering fjernes fra ordforrådet.",1,debatt siv jensen søndagsavisen frp seriøs ikke stigmatisere muslimer må lusket islamisering fjernes ordforrådet
tybring gjedde står ved bruk av snikislamisering. da er frp høyrepopulister da!?,1,tybring gjedde står bruk snikislamisering frp høyrepopulister
det er bedre å pakke tyggegummi enn å tygge pakkis.,1,bedre pakke tyggegummi tygge pakkis
"Jeg er ateist, og trakk meg fra kirken. ser ingen tegn til snik islamisering i den refererte artikkelen.",1,ateist trakk kirken ser tegn snik islamisering refererte artikkelen
siv jensen asså! tok sikte i 2009 og så hvor landet lå. visste at snikislamisering ville føre til at Coca Cola lanserte salgsautomater fra Ramadana,1,siv jensen asså tok sikte landet lå visste snikislamisering føre coca cola lanserte salgsautomater ramadana
er det for mye å håpe at denne erkjennelsen blir fulgt av handling? deporter det uintegrerbare.,0,mye håpe erkjennelsen fulgt handling deporter uintegrerbare
"stopp islamiseringen av norge tilbyr offentlig informasjon om islamproblemet, på eidsvolls plass 26. mai kl 13-15",1,stopp islamiseringen norge tilbyr offentlig informasjon islamproblemet eidsvolls plass mai kl
dette er for meg et annet eksempel (selv om dette ikke er i norge) av islamisering. og de politisk korrekte sier islamisering eller snikislamisering er en konspirasjonsteori.,0,annet eksempel ikke norge islamisering politisk korrekte sier islamisering snikislamisering konspirasjonsteori
"nå leste jeg bare om snikislamisering i kveldsinnlegget, så det blir en ganske blindvei, men ja",1,leste snikislamisering kveldsinnlegget ganske blindvei
hva er nyhetsverdien her? selvfølgelig burde norske jøder kjempe for Norge! vinkelen din er åndløs. litt som muslimene som krever å bli klappet på hodet fordi de jobber og betaler skatt. en selvfølge å bidra til vertssamfunnet. ingenting å gjøre noe tilfelle av.,0,nyhetsverdien selvfølgelig burde norske jøder kjempe norge vinkelen åndløs litt muslimene krever klappet hodet jobber betaler skatt selvfølge bidra vertssamfunnet ingenting gjøre tilfelle
"det morsomme er at venstremennene betrakter muslimenes dokumenterte strategi for ødeleggelse og overtakelse av vest, som en konspirasjonsteori. teologien. hvis empirisk. les notatet fra rettssaken om det hellige land.",0,morsomme venstremennene betrakter muslimenes dokumenterte strategi ødeleggelse overtakelse vest konspirasjonsteori teologien empirisk les notatet rettssaken hellige land
"det er ikke gruppetilhørigheten som lar henne være litt mye. eller litt lite, hvis man måler evnen til å produsere intelligente sitater selv. skal hun få positiv diskriminering fordi hun ikke er en hvit mann på 50?",1,ikke gruppetilhørigheten lar litt mye litt lite måler evnen produsere intelligente sitater få positiv diskriminering ikke hvit mann
det grundig korrupte supperådet vil begå folkemord på den vestlige befolkningen til fordel for invaderende horder fra tilbakefallende skitne land. tid til å vise fn finger&#39,0,grundig korrupte supperådet begå folkemord vestlige befolkningen fordel invaderende horder tilbakefallende skitne land tid vise fn finger
standard sak: - tilfelle at skoleelever nektes å si jul / pølser er hentet fra menyen - helt høyre hyler om snikislamisering - venstre side påpeker rasisme - anstendig høyre sier at jul er bra - debatten starter: er norsk jul truet av muslimer ... eller twittersosialister?,1,standard sak tilfelle skoleelever nektes jul pølser hentet menyen helt høyre hyler snikislamisering venstre side påpeker rasisme anstendig høyre sier jul bra debatten starter norsk jul truet muslimer twittersosialister
